2023-04-04 15:48:31,425 INFO    StreamThr :17278 [internal.py:wandb_internal():87] W&B internal server running at pid: 17278, started at: 2023-04-04 15:48:31.422867
2023-04-04 15:48:31,427 DEBUG   HandlerThread:17278 [handler.py:handle_request():144] handle_request: status
2023-04-04 15:48:31,432 INFO    WriterThread:17278 [datastore.py:open_for_write():85] open: /nfs/artemis.dgpsrv/ondemand27/evanpan/Gaze_project/training/wandb/run-20230404_154831-rmni8fk6/run-rmni8fk6.wandb
2023-04-04 15:48:31,437 DEBUG   SenderThread:17278 [sender.py:send():336] send: header
2023-04-04 15:48:31,453 DEBUG   SenderThread:17278 [sender.py:send():336] send: run
2023-04-04 15:48:31,690 INFO    SenderThread:17278 [dir_watcher.py:__init__():219] watching files in: /nfs/artemis.dgpsrv/ondemand27/evanpan/Gaze_project/training/wandb/run-20230404_154831-rmni8fk6/files
2023-04-04 15:48:31,690 INFO    SenderThread:17278 [sender.py:_start_run_threads():1078] run started: rmni8fk6 with start time 1680637711.423478
2023-04-04 15:48:31,690 DEBUG   SenderThread:17278 [sender.py:send_request():363] send_request: summary_record
2023-04-04 15:48:31,692 DEBUG   HandlerThread:17278 [handler.py:handle_request():144] handle_request: check_version
2023-04-04 15:48:31,717 INFO    SenderThread:17278 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-04-04 15:48:31,718 DEBUG   SenderThread:17278 [sender.py:send_request():363] send_request: check_version
2023-04-04 15:48:31,799 DEBUG   HandlerThread:17278 [handler.py:handle_request():144] handle_request: run_start
2023-04-04 15:48:31,839 DEBUG   HandlerThread:17278 [system_info.py:__init__():31] System info init
2023-04-04 15:48:31,839 DEBUG   HandlerThread:17278 [system_info.py:__init__():46] System info init done
2023-04-04 15:48:31,839 INFO    HandlerThread:17278 [system_monitor.py:start():183] Starting system monitor
2023-04-04 15:48:31,839 INFO    SystemMonitor:17278 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-04-04 15:48:31,839 INFO    HandlerThread:17278 [system_monitor.py:probe():204] Collecting system info
2023-04-04 15:48:31,840 INFO    SystemMonitor:17278 [interfaces.py:start():187] Started cpu monitoring
2023-04-04 15:48:31,841 INFO    SystemMonitor:17278 [interfaces.py:start():187] Started disk monitoring
2023-04-04 15:48:31,841 INFO    SystemMonitor:17278 [interfaces.py:start():187] Started gpu monitoring
2023-04-04 15:48:31,842 INFO    SystemMonitor:17278 [interfaces.py:start():187] Started memory monitoring
2023-04-04 15:48:31,843 INFO    SystemMonitor:17278 [interfaces.py:start():187] Started network monitoring
2023-04-04 15:48:31,870 DEBUG   HandlerThread:17278 [system_info.py:probe():195] Probing system
2023-04-04 15:48:31,896 DEBUG   HandlerThread:17278 [system_info.py:_probe_git():180] Probing git
2023-04-04 15:48:31,932 DEBUG   HandlerThread:17278 [system_info.py:_probe_git():188] Probing git done
2023-04-04 15:48:31,932 DEBUG   HandlerThread:17278 [system_info.py:probe():240] Probing system done
